invocation_index,pass_index,query_index,asset_id,status,duration_ns,score,failure_category,failure_exception_type
140,1,40,synthetic/query/040,success,2685433129,0.04916311055421829,,
141,1,41,synthetic/query/041,success,2612276678,0.04712485522031784,,
142,1,42,synthetic/query/042,success,2863431215,0.044410593807697296,,
143,1,43,synthetic/query/043,success,2807323814,0.04818791151046753,,
144,1,44,synthetic/query/044,success,2485151377,0.055861104279756546,,
145,1,45,synthetic/query/045,success,2482926618,0.048003874719142914,,
146,1,46,synthetic/query/046,success,2403433962,0.04496413469314575,,
147,1,47,synthetic/query/047,success,2300042640,0.0508146658539772,,
148,1,48,synthetic/query/048,success,2479497077,0.04005836322903633,,
149,1,49,synthetic/query/049,success,2386924223,0.04364269971847534,,
150,1,50,synthetic/query/050,success,2443074039,0.0448397621512413,,
151,1,51,synthetic/query/051,success,2437318482,0.04583091661334038,,
152,1,52,synthetic/query/052,success,2100399256,0.05355796217918396,,
153,1,53,synthetic/query/053,success,2338378643,0.04878581315279007,,
154,1,54,synthetic/query/054,success,2292403696,0.0490897074341774,,
155,1,55,synthetic/query/055,success,2418222843,0.03836669772863388,,
156,1,56,synthetic/query/056,success,2230752822,0.04631660506129265,,
157,1,57,synthetic/query/057,success,2146104485,0.04396568983793259,,
158,1,58,synthetic/query/058,success,2437439384,0.045877743512392044,,
159,1,59,synthetic/query/059,success,2321598476,0.046317942440509796,,
160,1,60,synthetic/query/060,success,2003825165,0.057908035814762115,,
161,1,61,synthetic/query/061,success,2157670434,0.042502351105213165,,
162,1,62,synthetic/query/062,success,2662790616,0.04850902408361435,,
163,1,63,synthetic/query/063,success,2317648764,0.05808837339282036,,
164,1,64,synthetic/query/064,success,2016810695,0.048159144818782806,,
165,1,65,synthetic/query/065,success,1970810083,0.050640035420656204,,
166,1,66,synthetic/query/066,success,2225230479,0.047288279980421066,,
167,1,67,synthetic/query/067,success,2098073267,0.04339323192834854,,
168,1,68,synthetic/query/068,success,2090937648,0.046437203884124756,,
169,1,69,synthetic/query/069,success,2059525702,0.04724885895848274,,
170,1,70,synthetic/query/070,success,2134718215,0.04362671449780464,,
171,1,71,synthetic/query/071,success,2142080325,0.04581139609217644,,
172,1,72,synthetic/query/072,success,2350448488,0.04156184196472168,,
173,1,73,synthetic/query/073,success,2113796040,0.04964014142751694,,
174,1,74,synthetic/query/074,success,2214249065,0.049927253276109695,,
175,1,75,synthetic/query/075,success,2172191613,0.04491996020078659,,
176,1,76,synthetic/query/076,success,2391291182,0.05217578262090683,,
177,1,77,synthetic/query/077,success,2994573674,0.047051556408405304,,
178,1,78,synthetic/query/078,success,3091703230,0.047405075281858444,,
179,1,79,synthetic/query/079,success,2588474245,0.03627398610115051,,
180,1,80,synthetic/query/080,success,3209654478,0.049604933708906174,,
181,1,81,synthetic/query/081,success,3625274025,0.04342333599925041,,
182,1,82,synthetic/query/082,success,3008998282,0.04447992518544197,,
183,1,83,synthetic/query/083,success,3544966251,0.05129095911979675,,
184,1,84,synthetic/query/084,success,3168811013,0.03946333006024361,,
185,1,85,synthetic/query/085,success,3282574091,0.03787878900766373,,
186,1,86,synthetic/query/086,success,4269550725,0.049794651567935944,,
187,1,87,synthetic/query/087,success,3056488403,0.0441737174987793,,
188,1,88,synthetic/query/088,success,2422279887,0.0521601140499115,,
189,1,89,synthetic/query/089,success,2835653304,0.046683650463819504,,
190,1,90,synthetic/query/090,success,2409180873,0.05058544874191284,,
191,1,91,synthetic/query/091,success,2550536623,0.050922103226184845,,
192,1,92,synthetic/query/092,success,2156147103,0.05282851308584213,,
193,1,93,synthetic/query/093,success,2184295508,0.04448831081390381,,
194,1,94,synthetic/query/094,success,1986253170,0.04207940772175789,,
195,1,95,synthetic/query/095,success,2067258689,0.055892907083034515,,
196,1,96,synthetic/query/096,success,2146402499,0.03994068503379822,,
197,1,97,synthetic/query/097,success,2225020143,0.043596528470516205,,
198,1,98,synthetic/query/098,success,2380901207,0.04820782691240311,,
199,1,99,synthetic/query/099,success,2481117413,0.05259469151496887,,
200,2,0,synthetic/query/000,success,2329806222,0.04563022404909134,,
201,2,1,synthetic/query/001,success,2055957499,0.04630249738693237,,
202,2,2,synthetic/query/002,success,2187926071,0.049615152180194855,,
203,2,3,synthetic/query/003,success,2462199064,0.0498291440308094,,
204,2,4,synthetic/query/004,success,2443230283,0.04466310143470764,,
205,2,5,synthetic/query/005,success,2226122875,0.05033985897898674,,
206,2,6,synthetic/query/006,success,2008777283,0.04234672337770462,,
207,2,7,synthetic/query/007,success,2100186179,0.04645366594195366,,
208,2,8,synthetic/query/008,success,2039293492,0.04377865791320801,,
209,2,9,synthetic/query/009,success,1959442184,0.04290775582194328,,
210,2,10,synthetic/query/010,success,2347119494,0.050016433000564575,,
211,2,11,synthetic/query/011,success,2128604975,0.04032260924577713,,
212,2,12,synthetic/query/012,success,2018979119,0.06431049853563309,,
213,2,13,synthetic/query/013,success,1917453353,0.03979041054844856,,
214,2,14,synthetic/query/014,success,2044497929,0.06260265409946442,,
215,2,15,synthetic/query/015,success,2091803769,0.07801494747400284,,
216,2,16,synthetic/query/016,success,1977698781,0.04516840726137161,,
217,2,17,synthetic/query/017,success,1876887136,0.04420027136802673,,
218,2,18,synthetic/query/018,success,1997110484,0.04007389023900032,,
219,2,19,synthetic/query/019,success,2691744416,0.045440882444381714,,
220,2,20,synthetic/query/020,success,2058101776,0.05141977593302727,,
221,2,21,synthetic/query/021,success,2306673334,0.037202704697847366,,
222,2,22,synthetic/query/022,success,2783690598,0.046642888337373734,,
223,2,23,synthetic/query/023,success,2120587968,0.05476828292012215,,
224,2,24,synthetic/query/024,success,2283989429,0.040813010185956955,,
225,2,25,synthetic/query/025,success,2314459356,0.0392955057322979,,
