contract_version,run_id,run_kind,method,pass_index,relative_path,duration_ns,score_status,score_failure_code
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0215.JPG,451604913,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0237.JPG,403062583,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0261.JPG,423064966,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0286.JPG,391803247,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0294.JPG,402832008,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0297.JPG,429066621,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0303.JPG,435176180,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0306.JPG,421439998,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0320.JPG,450661137,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0333.JPG,533013589,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0363.JPG,506411894,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0377.JPG,428633557,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0394.JPG,547713537,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0400.JPG,472758396,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0402.JPG,423089164,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0417.JPG,414887604,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0423.JPG,465646770,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0427.JPG,437750291,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0457.JPG,442212162,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0469.JPG,471450971,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0479.JPG,485524067,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0483.JPG,443316553,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0484.JPG,426319722,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0488.JPG,447958221,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0490.JPG,395701300,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0514.JPG,411638147,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0518.JPG,392442342,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0520.JPG,434589545,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0525.JPG,423999301,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0545.JPG,448369554,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0552.JPG,399544674,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0569.JPG,424592952,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0615.JPG,744474542,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0617.JPG,560812507,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0619.JPG,624886375,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0621.JPG,502960034,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0629.JPG,565766242,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0631.JPG,461858947,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0648.JPG,523471127,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0654.JPG,494145384,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0657.JPG,481903149,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0659.JPG,411532085,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0674.JPG,506415400,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0684.JPG,523497255,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0685.JPG,807589636,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0688.JPG,935540359,ok,
evaluation-artifacts/v0.1,visa-pcb1-v0-1-final,final_test,patch_hog_one_class_svm,1,pcb1/Data/Images/Normal/0690.JPG,619986634,ok,
